# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
9,River,0,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d', '7d', '7h']",Ad,,100,100
10,Pre-Flop,0,134,-134,DISCARD,0,"['5h', '8d']","['3d', '6h']","['2d', '6s']",,,1,1
10,Pre-Flop,0,134,-134,RAISE,2,"['5h', '9h']","['3d', '6h']","['2d', '6s']",8d,,1,1
10,Pre-Flop,1,134,-134,CALL,0,"['5h', '9h']","['3d', '6h']","['2d', '6s']",8d,,2,2
10,Flop,0,134,-134,CHECK,0,"['5h', '9h']","['3d', '6h']","['2d', '6s', '4d']",8d,,4,4
10,Flop,1,134,-134,RAISE,8,"['5h', '9h']","['3d', '6h']","['2d', '6s', '4d']",8d,,4,4
10,Flop,0,134,-134,FOLD,0,"['5h', '9h']","['3d', '6h']","['2d', '6s', '4d']",8d,,4,4
11,Pre-Flop,1,130,-130,RAISE,9,"['Ah', '2d']","['7s', '2s']","['4s', '8d']",,,1,1
11,Pre-Flop,0,130,-130,DISCARD,0,"['Ah', '2d']","['7s', '2s']","['4s', '8d']",,,2,2
11,Pre-Flop,0,130,-130,RAISE,19,"['Ah', '8s']","['7s', '2s']","['4s', '8d']",2d,,2,2
11,Pre-Flop,1,130,-130,RAISE,70,"['Ah', '8s']","['7s', '2s']","['4s', '8d']",2d,,11,11
11,Pre-Flop,0,130,-130,CALL,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d']",2d,,30,30
11,Flop,1,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d']",2d,,100,100
11,Flop,0,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d']",2d,,100,100
11,Turn,1,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d', '3h']",2d,,100,100
11,Turn,0,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d', '3h']",2d,,100,100
11,River,1,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d', '3h', '6s']",2d,,100,100
11,River,0,130,-130,CHECK,0,"['Ah', '8s']","['7s', '2s']","['4s', '8d', '7d', '3h', '6s']",2d,,100,100
12,Pre-Flop,0,230,-230,DISCARD,0,"['7h', '2s']","['As', '8d']","['6s', '8s']",,,1,1
12,Pre-Flop,0,230,-230,RAISE,3,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,1,1
12,Pre-Flop,1,230,-230,RAISE,21,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,2,2
12,Pre-Flop,0,230,-230,RAISE,46,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,5,5
12,Pre-Flop,1,230,-230,RAISE,28,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,26,26
12,Pre-Flop,0,230,-230,CALL,0,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,72,72
12,Pre-Flop,1,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s']",7h,,100,100
12,Flop,0,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad']",7h,,100,100
12,Flop,1,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad']",7h,,100,100
12,Turn,0,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad', '9s']",7h,,100,100
12,Turn,1,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad', '9s']",7h,,100,100
12,River,0,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad', '9s', '9h']",7h,,100,100
12,River,1,230,-230,CHECK,0,"['3s', '2s']","['As', '8d']","['6s', '8s', 'Ad', '9s', '9h']",7h,,100,100
13,Pre-Flop,1,330,-330,RAISE,9,"['8d', '7d']","['4d', '9s']","['7s', '3h']",,,1,1
13,Pre-Flop,0,330,-330,DISCARD,0,"['8d', '7d']","['4d', '9s']","['7s', '3h']",,,2,2
13,Pre-Flop,0,330,-330,RAISE,11,"['8d', '5s']","['4d', '9s']","['7s', '3h']",7d,,2,2
13,Pre-Flop,1,330,-330,RAISE,78,"['8d', '5s']","['4d', '9s']","['7s', '3h']",7d,,11,11
13,Pre-Flop,0,330,-330,CALL,0,"['8d', '5s']","['4d', '9s']","['7s', '3h']",7d,,22,22
13,Flop,1,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d']",7d,,100,100
13,Flop,0,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d']",7d,,100,100
13,Turn,1,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d', '3s']",7d,,100,100
13,Turn,0,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d', '3s']",7d,,100,100
13,River,1,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d', '3s', '2d']",7d,,100,100
13,River,0,330,-330,CHECK,0,"['8d', '5s']","['4d', '9s']","['7s', '3h', '5d', '3s', '2d']",7d,,100,100
14,Pre-Flop,0,430,-430,RAISE,4,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,1,1
14,Pre-Flop,1,430,-430,RAISE,24,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,2,2
14,Pre-Flop,0,430,-430,RAISE,36,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,6,6
14,Pre-Flop,1,430,-430,RAISE,34,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,30,30
14,Pre-Flop,0,430,-430,CALL,0,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,66,66
14,Pre-Flop,1,430,-430,CHECK,0,"['9s', '8h']","['2h', '6h']","['8s', '3h']",,,100,100
14,Flop,0,430,-430,DISCARD,0,"['9s', '8h']","['2h', '6h']","['8s', '3h', '4h']",,,100,100
14,Flop,0,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h']",8h,,100,100
14,Flop,1,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h']",8h,,100,100
14,Turn,0,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h', '7d']",8h,,100,100
14,Turn,1,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h', '7d']",8h,,100,100
14,River,0,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h', '7d', '4s']",8h,,100,100
14,River,1,430,-430,CHECK,0,"['9s', '7h']","['2h', '6h']","['8s', '3h', '4h', '7d', '4s']",8h,,100,100
15,Pre-Flop,1,530,-530,DISCARD,0,"['6h', '9d']","['4d', '8d']","['8s', '2d']",,,1,1
15,Pre-Flop,1,530,-530,RAISE,9,"['6h', '9d']","['3h', '8d']","['8s', '2d']",,4d,1,1
15,Pre-Flop,0,530,-530,DISCARD,0,"['6h', '9d']","['3h', '8d']","['8s', '2d']",,4d,2,2
15,Pre-Flop,0,530,-530,RAISE,13,"['6h', '7h']","['3h', '8d']","['8s', '2d']",9d,4d,2,2
15,Pre-Flop,1,530,-530,RAISE,76,"['6h', '7h']","['3h', '8d']","['8s', '2d']",9d,4d,11,11
15,Pre-Flop,0,530,-530,CALL,0,"['6h', '7h']","['3h', '8d']","['8s', '2d']",9d,4d,24,24
15,Flop,1,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h']",9d,4d,100,100
15,Flop,0,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h']",9d,4d,100,100
15,Turn,1,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h', '5d']",9d,4d,100,100
15,Turn,0,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h', '5d']",9d,4d,100,100
15,River,1,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h', '5d', 'Ah']",9d,4d,100,100
15,River,0,530,-530,CHECK,0,"['6h', '7h']","['3h', '8d']","['8s', '2d', '4h', '5d', 'Ah']",9d,4d,100,100
16,Pre-Flop,0,630,-630,DISCARD,0,"['4s', '6h']","['3d', 'Ad']","['2d', '7d']",,,1,1
16,Pre-Flop,0,630,-630,RAISE,3,"['4s', '7s']","['3d', 'Ad']","['2d', '7d']",6h,,1,1
16,Pre-Flop,1,630,-630,DISCARD,0,"['4s', '7s']","['3d', 'Ad']","['2d', '7d']",6h,,2,2
16,Pre-Flop,1,630,-630,RAISE,21,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d']",6h,3d,2,2
16,Pre-Flop,0,630,-630,RAISE,31,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d']",6h,3d,5,5
16,Pre-Flop,1,630,-630,RAISE,43,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d']",6h,3d,26,26
16,Pre-Flop,0,630,-630,CALL,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d']",6h,3d,57,57
16,Pre-Flop,1,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d']",6h,3d,100,100
16,Flop,0,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h']",6h,3d,100,100
16,Flop,1,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h']",6h,3d,100,100
16,Turn,0,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h', '8s']",6h,3d,100,100
16,Turn,1,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h', '8s']",6h,3d,100,100
16,River,0,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h', '8s', '5d']",6h,3d,100,100
16,River,1,630,-630,CHECK,0,"['4s', '7s']","['Ah', 'Ad']","['2d', '7d', '4h', '8s', '5d']",6h,3d,100,100
17,Pre-Flop,1,730,-730,RAISE,9,"['9s', '3d']","['6h', '4s']","['Ah', 'As']",,,1,1
17,Pre-Flop,0,730,-730,RAISE,11,"['9s', '3d']","['6h', '4s']","['Ah', 'As']",,,2,2
17,Pre-Flop,1,730,-730,RAISE,78,"['9s', '3d']","['6h', '4s']","['Ah', 'As']",,,11,11
17,Pre-Flop,0,730,-730,CALL,0,"['9s', '3d']","['6h', '4s']","['Ah', 'As']",,,22,22
17,Flop,1,730,-730,CHECK,0,"['9s', '3d']","['6h', '4s']","['Ah', 'As', '3s']",,,100,100
17,Flop,0,730,-730,DISCARD,0,"['9s', '3d']","['6h', '4s']","['Ah', 'As', '3s']",,,100,100
17,Flop,0,730,-730,CHECK,0,"['9s', '8h']","['6h', '4s']","['Ah', 'As', '3s']",3d,,100,100
17,Turn,1,730,-730,CHECK,0,"['9s', '8h']","['6h', '4s']","['Ah', 'As', '3s', '7h']",3d,,100,100
17,Turn,0,730,-730,CHECK,0,"['9s', '8h']","['6h', '4s']","['Ah', 'As', '3s', '7h']",3d,,100,100
17,River,1,730,-730,CHECK,0,"['9s', '8h']","['6h', '4s']","['Ah', 'As', '3s', '7h', '2h']",3d,,100,100
17,River,0,730,-730,CHECK,0,"['9s', '8h']","['6h', '4s']","['Ah', 'As', '3s', '7h', '2h']",3d,,100,100
18,Pre-Flop,0,830,-830,DISCARD,0,"['As', '3d']","['8h', '3h']","['Ad', '9d']",,,1,1
18,Pre-Flop,0,830,-830,RAISE,3,"['As', '5h']","['8h', '3h']","['Ad', '9d']",3d,,1,1
18,Pre-Flop,1,830,-830,RAISE,21,"['As', '5h']","['8h', '3h']","['Ad', '9d']",3d,,2,2
18,Pre-Flop,0,830,-830,RAISE,26,"['As', '5h']","['8h', '3h']","['Ad', '9d']",3d,,5,5
18,Pre-Flop,1,830,-830,CALL,0,"['As', '5h']","['8h', '3h']","['Ad', '9d']",3d,,26,26
18,Flop,0,830,-830,RAISE,48,"['As', '5h']","['8h', '3h']","['Ad', '9d', '8d']",3d,,52,52
18,Flop,1,830,-830,CALL,0,"['As', '5h']","['8h', '3h']","['Ad', '9d', '8d']",3d,,52,52
18,Turn,0,830,-830,CHECK,0,"['As', '5h']","['8h', '3h']","['Ad', '9d', '8d', '5d']",3d,,100,100
